Temperature [K];CMF;x;y;P;R;G;B;r;g;b;#rgb
9300;2;0.2866;0.2950;9.969e+15;0.6703;0.7362;1.0000;214;223;255;#d6dfff
9300;10;0.2845;0.2953;1.102e+16;0.6471;0.7397;1.0000;210;223;255;#d2dfff
9400;2;0.2860;0.2942;1.029e+16;0.6635;0.7311;1.0000;213;222;255;#d5deff
9400;10;0.2839;0.2946;1.138e+16;0.6402;0.7352;1.0000;209;223;255;#d1dfff
9500;2;0.2853;0.2934;1.062e+16;0.6568;0.7263;1.0000;212;221;255;#d4ddff
9500;10;0.2832;0.2939;1.174e+16;0.6335;0.7308;1.0000;208;222;255;#d0deff
9600;2;0.2847;0.2927;1.095e+16;0.6504;0.7215;1.0000;211;221;255;#d3ddff
9600;10;0.2826;0.2932;1.211e+16;0.6271;0.7265;1.0000;207;221;255;#cfddff
9700;2;0.2841;0.2919;1.129e+16;0.6442;0.7169;1.0000;210;220;255;#d2dcff
9700;10;0.2820;0.2925;1.249e+16;0.6208;0.7224;1.0000;207;221;255;#cfddff
9800;2;0.2835;0.2912;1.163e+16;0.6382;0.7124;1.0000;209;220;255;#d1dcff
9800;10;0.2813;0.2918;1.287e+16;0.6148;0.7183;1.0000;206;220;255;#cedcff
9900;2;0.2829;0.2905;1.197e+16;0.6324;0.7081;1.0000;208;219;255;#d0dbff
9900;10;0.2808;0.2912;1.325e+16;0.6089;0.7144;1.0000;205;220;255;#cddcff
10000;2;0.2824;0.2898;1.231e+16;0.6268;0.7039;1.0000;207;218;255;#cfdaff
10000;10;0.2802;0.2905;1.364e+16;0.6033;0.7106;1.0000;204;219;255;#ccdbff
10100;2;0.2818;0.2891;1.267e+16;0.6213;0.6998;1.0000;207;218;255;#cfdaff
10100;10;0.2796;0.2899;1.403e+16;0.5978;0.7069;1.0000;203;219;255;#cbdbff
10200;2;0.2813;0.2884;1.302e+16;0.6161;0.6958;1.0000;206;217;255;#ced9ff
10200;10;0.2791;0.2893;1.442e+16;0.5925;0.7033;1.0000;202;218;255;#cadaff
10300;2;0.2807;0.2878;1.338e+16;0.6109;0.6919;1.0000;205;217;255;#cdd9ff
10300;10;0.2785;0.2887;1.482e+16;0.5873;0.6998;1.0000;201;218;255;#c9daff
10400;2;0.2802;0.2871;1.374e+16;0.6060;0.6881;1.0000;204;216;255;#ccd8ff
10400;10;0.2780;0.2881;1.523e+16;0.5823;0.6964;1.0000;201;217;255;#c9d9ff
10500;2;0.2797;0.2865;1.410e+16;0.6012;0.6844;1.0000;204;216;255;#ccd8ff
10500;10;0.2775;0.2876;1.563e+16;0.5774;0.6930;1.0000;200;217;255;#c8d9ff
10600;2;0.2792;0.2859;1.447e+16;0.5965;0.6808;1.0000;203;215;255;#cbd7ff
10600;10;0.2770;0.2870;1.605e+16;0.5727;0.6898;1.0000;199;216;255;#c7d8ff
10700;2;0.2788;0.2853;1.484e+16;0.5919;0.6773;1.0000;202;215;255;#cad7ff
10700;10;0.2765;0.2865;1.646e+16;0.5681;0.6866;1.0000;199;216;255;#c7d8ff
10800;2;0.2783;0.2847;1.521e+16;0.5875;0.6739;1.0000;202;214;255;#cad6ff
10800;10;0.2761;0.2859;1.688e+16;0.5637;0.6836;1.0000;198;216;255;#c6d8ff
10900;2;0.2778;0.2841;1.559e+16;0.5833;0.6706;1.0000;201;214;255;#c9d6ff
10900;10;0.2756;0.2854;1.730e+16;0.5593;0.6806;1.0000;197;215;255;#c5d7ff
11000;2;0.2774;0.2836;1.597e+16;0.5791;0.6674;1.0000;200;213;255;#c8d5ff
11000;10;0.2751;0.2849;1.773e+16;0.5551;0.6776;1.0000;196;215;255;#c4d7ff
11100;2;0.2770;0.2830;1.636e+16;0.5750;0.6642;1.0000;200;213;255;#c8d5ff
